"Module","Feature","Description","User Role","Priority"
"Authentication & Profile","Multi-Channel Sign-In/Up","Sign up via email/password or Social Login (Google, Facebook, Apple ID)","End User","High"
"Authentication & Profile","OTP Verification","One-time password via email/SMS for registration and critical actions (e.g. password reset)","End User","High"
"Authentication & Profile","Profile Customization","Update name, profile picture, contact details, notification preferences","End User","Medium"
"Authentication & Profile","Region/Location Anchoring","Set home region/city/postal code to personalize feed","End User","High"
"Authentication & Profile","User Impact Dashboard","Stats: items donated, items received","End User","Medium"
"Donation Post Management","Listing Creation Wizard","Step-by-step form: title, description, brand/model, category, condition tags","End User","High"
"Donation Post Management","Media Uploader","Drag-and-drop upload of up to 5 photos per listing","End User","High"
"Donation Post Management","Logistics Preferences","Specify pickup rules (self-pickup, needs truck, weekend-only, etc.)","End User","Medium"
"Donation Post Management","Post Status Tracker","Toggle listing status: Available, Reserved, Donated, Archived","End User","High"
"Discovery, Feed & Filtering","Location-Based Feed","Main feed prioritizing listings near the user's set region","End User","High"
"Discovery, Feed & Filtering","Advanced Filtering Suite","Filter by region/distance, category, and condition","End User","High"
"Discovery, Feed & Filtering","Smart Search","Keyword search with auto-suggestions for appliance types","End User","Medium"
"Discovery, Feed & Filtering","Watchlist / Saved Items","Bookmark listings to revisit or request later","End User","Low"
"Request & Communication","Item Request Workflow","""Request Item"" button prompting a note to the owner (reason/pickup timing)","End User","High"
"Request & Communication","In-App Messaging System","Text-only chat unlocked after a request, hides personal contact info","End User","High"
"Request & Communication","Claim Confirmation","Donor marks ""Gifted to [User]"" to close and log the transaction","End User","High"
"Safety & Reporting","Flagging System","""Report"" button on posts/profiles for scams, spam, or inappropriate content","End User","High"
